体征	Sign-B	Sign-I
体征值	SignValue-B	SignValue-I
体征类型	SignType-B	SignType-I
体征结果	SignResult-B	SignResult-I
手术	Operation-B	Operation-I
检查	Censor-B	Censor-I
检查检验结果	CResult-B	CResult-I
检验	Test-B	Test-I
治疗方案	TreatPlan-B	TreatPlan-I
用法用量	Dosage-B	Dosage-I
用药单位	MediUnit-B	MediUnit-I
疾病	Disease-B	Disease-I
疾病别名	DAlias-B	DAlias-I
症状	Sympotom-B	Sympotom-I
症状体征大小	SSize-B	SSize-I
症状体征颜色	SColor-B	SColor-I
症状性质	SNature-B		SNature-I
症状持续时间	STime-B	STime-I
症状程度	SDegree-B	SDegree-I
症状结果	SResult-B	SResult-I
症状频率	SFrequency-B	SFrequency-I
给药方式	MWay-B	MWay-I
药品	Medicine-B	Medicine-I
药品别名	MAlias-B	Malias-I
药品类型	MType-B	MType-I
部位	Position-B		Position-I
